Name,Year,Rating
American Manhunt: The Boston Marathon Bombing,2023,4.5
Brief Encounter,1945,4.5
Anyone But You,2023,1.5
Rocky,1976,3.0
Catch Me If You Can,2002,4.0
Saving Private Ryan,1998,4.5
Raiders of the Lost Ark,1981,4.0
Jaws,1975,4.5
Soul,2020,4.0
Good Will Hunting,1997,4.5
Come and See,1985,3.0
Call Me by Your Name,2017,3.5
Shame,2011,4.0
The Secret Life of Walter Mitty,2013,3.5
Into the Wild,2007,3.0
Goldfinger,1964,2.5
Dr. No,1962,2.5
Paddington,2014,3.5
Tenet,2020,4.0
The French Connection,1971,2.5
American Graffiti,1973,4.0
No Time to Die,2021,3.5
A Star Is Born,2018,4.0
Spectre,2015,2.5
Casablanca,1942,4.0
It's a Wonderful Life,1946,4.0
Skyfall,2012,4.0
Casino Royale,2006,4.0
Hunger,2008,3.5
Once,2007,3.5
The Thin Red Line,1998,4.0
Roma,2018,4.0
Finding Nemo,2003,4.0
Phantom Thread,2017,4.0
Pain and Glory,2019,4.0
Airplane!,1980,3.5
Shoplifters,2018,3.5
Her,2013,4.0
Mad Max: Fury Road,2015,4.5
The Godfather,1972,5.0
Paddington 2,2017,3.5
Harry Potter and the Order of the Phoenix,2007,3.0
Harry Potter and the Goblet of Fire,2005,4.5
Harry Potter and the Deathly Hallows: Part 1,2010,4.5
Top Gun: Maverick,2022,4.5
The Banshees of Inisherin,2022,4.5
Black Panther: Wakanda Forever,2022,3.0
Avatar: The Way of Water,2022,3.5
Babylon,2022,2.5
The Fabelmans,2022,4.0
Aftersun,2022,3.5
The Whale,2022,3.5
Scream VI,2023,2.0
John Wick: Chapter 4,2023,2.5
The Super Mario Bros. Movie,2023,2.5
Guardians of the Galaxy Vol. 3,2023,3.0
"Are You There God? It's Me, Margaret.",2023,3.0
Barbie,2023,3.5
Oppenheimer,2023,4.5
The Boy and the Heron,2023,2.0
The Banker,2020,2.5
Belfast,2021,4.0
Fyre,2019,4.0
White Hot: The Rise & Fall of Abercrombie & Fitch,2022,2.5
Trainwreck: Woodstock '99,2022,4.5
Four Weddings and a Funeral,1994,2.5
When Harry Met Sally...,1989,4.0
"Crazy, Stupid, Love.",2011,4.5
