Console,GameName,Review,Score
PS2,Grand Prix Challenge Review,Good,7
PC,MVP Baseball 2003 Review,Great,8
PS2,Amplitude Review,Great,8
XBOX,UFC: Tapout 2 Review,Fair,6
PC,Galactic Civilizations Review,Great,8
PS,Dragon Ball Z Ultimate Battle 22 Review,Abysmal,1
XBOX,World Series Baseball 2K3 Review,Superb,9
PS2,World Series Baseball 2K3 Review,Great,8
PC,Delta Force: Black Hawk Down Review,Mediocre,5
PC,Tom Clancy's Rainbow Six 3: Raven Shield Review,Great,8
PS2,Primal Review,Good,7
XBOX,High Heat Major League Baseball 2004 Review,Great,8
XBOX,The Sims Review,Good,7
PC,Grom: Terror in Tibet Review,Bad,3
XBOX,Jurassic Park: Operation Genesis Review,Good,7
PS2,Jurassic Park: Operation Genesis Review,Good,7
PS2,Aero Elite: Combat Academy Review,Fair,6
PC,Jurassic Park: Operation Genesis Review,Good,7
PS2,MVP Baseball 2003 Review,Great,8
XBOX,MVP Baseball 2003 Review,Good,7
PS2,MotoGP3 Review,Great,8
PS2,WWE Crush Hour Review,Mediocre,5
XBOX,Tony Hawk's Pro Skater 4 Review,Superb,9
PC,High Heat Major League Baseball 2004 Review,Fair,6
XBOX,MLB Slugfest 2004 Review,Great,8
PS2,MLB Slugfest 2004 Review,Great,8
PS2,MLB 2004 Review,Good,7
XBOX,Rayman 3: Hoodlum Havoc Review,Great,8
PS2,The King of Route 66 Review,Fair,6
PC,Gods and Generals Review,Abysmal,1
PC,Baseball Mogul 2004 Review,Fair,6
PC,Heroes of Might and Magic IV: Winds of War Review,Fair,6
XBOX,Colin McRae Rally 3 Review,Great,8
PC,Praetorians Review,Great,8
PS2,High Heat Major League Baseball 2004 Review,Great,8
XBOX,All-Star Baseball 2004 Review,Great,8
PS2,All-Star Baseball 2004 Review,Great,8
PC,IL-2 Sturmovik: Forgotten Battles Review,Great,8
PC,Green Berets Review,Fair,6
PC,Waterloo: Napoleon's Last Battle Review,Good,7
PC,The Messenger Review,Mediocre,5
PC,Timescape: Journey to Pompeii Review,Fair,6
PC,Out of the Park Baseball 5 Review,Great,8
PS2,Sky Odyssey Review,Great,8
PS2,Winning Eleven 6 International Review,Superb,9
PC,IGI 2: Covert Strike Review,Mediocre,5
PS2,My Street Review,Poor,4
PS2,Zone of the Enders: The 2nd Runner Review,Great,8
PC,Half-Life: Blue Shift Review,Good,7
XBOX,Shenmue II Review,Good,7
PS,Army Men: World War Review,Mediocre,5
PC,World Of Outlaws: Sprint Cars Review,Good,7
PC,Master of Orion III Review,Fair,6
PC,The Gladiators: Galactic Circus Games Review,Fair,6
PS2,Everblue 2 Review,Fair,6
PS2,Metal Gear Solid 2: Substance Review,Good,7
PS2,Tenchu: Wrath of Heaven Review,Great,8
XBOX,The Terminator: Dawn of Fate Review,Fair,6
PC,Freelancer Review,Great,8
XBOX,Indiana Jones and the Emperor's Tomb Review,Fair,6
XBOX,Kung Fu Chaos Review,Fair,6
PC,Post Mortem Review,Fair,6
PC,Harbinger Review,Poor,4
XBOX,Apex Review,Good,7
PS2,Disaster Report Review,Fair,6
PS2,Breath of Fire: Dragon Quarter Review,Great,8
PC,I Was An Atomic Mutant Review,Fair,6
PS2,Yu-Gi-Oh! The Duelists of the Roses Review,Mediocre,5
PS2,Xenosaga Episode I: Der Wille zur Macht Review,Great,8
PS2,World Tour Soccer 2003 Review,Good,7
PS2,Fisherman's Challenge Review,Good,7
PS2,Taiko no Tatsujin Import Review,Good,7
PS2,P.T.O. IV Review,Fair,6
XBOX,Metal Dungeon Review,Bad,3
PS2,EverQuest Online Adventures Review,Good,7
PS2,Dark Cloud 2 Review,Superb,9
PS2,Fighter Maker 2 Review,Poor,4
PS2,HyperSonic.Xtreme Review,Bad,3
XBOX,Vexx Review,Fair,6
XBOX,Capcom vs. SNK 2 EO Review,Great,8
PS2,Dynasty Warriors 3: Xtreme Legends Review,Good,7
PC,Command & Conquer: Generals Review,Great,8
PS2,Vexx Review,Fair,6
PS2,Galerians: Ash Review,Mediocre,5
